id,Collectives,Expenses,CrowdfundingUSD
8652,2,0,$438.00
972,1,0,$600.00
99349,1,0,$120.00
154054,1,0,$46.78
58252,0,1,$18.00
8707,1,1,$31.49
185777,1,0,$9.00
8685,1,0,$69.27
154648,1,0,$272.90
123384,1,3,$200.00
13360,1,0,$144.00
152888,0,1,$252.00
38113,1,0,$395.00
81867,1,0,"$2,226.25"
115027,1,22,"$8,582.00"
11004,2600,7482,"$6,030,986.00"
98478,599,6727,"$531,112.56"
9807,405,2124,"$518,156.95"
11049,173,10248,"$1,024,930.00"
73495,243,2137,"$419,763.38"
169078,103,815,"$26,789.41"
9804,81,31,"$3,922.00"
121357,59,1909,"$18,188.00"
696998,25,203,"$65,251.00"
452612,40,88,"$5,098.00"
659174,34,494,
729588,30,182,"$17,090.98"
28201,41,102,"$34,125.67"
839717,22,73,"$31,020.58"
549169,24,5,
206897,9,380,"$24,657.00"
711384,15,140,"$13,501.27"
465104,16,710,"$169,218.00"
752155,20,15,"$1,980.92"
716415,13,198,"$14,035.00"
40022,2,0,"$46,536.00"
63576,17,11,"$4,155.00"
646755,17,5,
541320,12,284,"$10,241.00"
510782,2,128,"$30,125.00"
787591,2,40,"$30,342.44"
538961,3,95,"$24,375.00"
26740,11,0,"$11,560.00"
266220,10,84,
528644,8,40,"$6,732.00"
8703,10,0,"$2,065.00"
27571,8,11,"$4,649.82"
50171,9,0,$727.10
445040,3,20,"$33,696.00"
153096,4,157,"$8,712.00"
443602,5,254,"$8,240.75"
94474,6,204,
636307,3,1,"$11,200.00"
812976,5,68,"$19,310.00"
488960,2,85,"$34,815.93"
219883,7,36,"$1,655.00"
141354,7,90,$960.40
534085,5,243,"$2,456.35"
685640,7,0,$451.00
101524,7,5,$251.00
510044,5,72,"$2,450.05"
832962,6,0,$9.55
144701,2,1,"$20,940.00"
755629,6,1,$146.00
502735,6,17,"$1,705.48"
39389,5,15,"$11,955.00"
796207,5,39,"$13,094.00"
542939,5,1,"$2,315.00"
124370,5,61,
490729,5,4,"$2,029.97"
256090,5,2,$921.00
776297,4,183,"$56,015.00"
827437,4,39,
8694,4,0,"$1,551.00"
493012,2,4,"$6,365.00"
255270,4,40,$563.07
171057,4,5,$6.30
490680,4,4,
794043,4,0,
197303,4,1,$750.00
92999,3,112,
121751,4,20,"$2,059.36"
439415,5,1,"$2,389.00"
9383,3,36,"$1,558.21"
174690,2,39,"$5,469.48"
588061,2,0,"$4,467.19"
80820,3,49,"$1,432.00"
27421,3,3,"$11,123.00"
639829,3,15,
467670,3,0,$364.84
159354,3,0,$173.19
193611,3,0,$62.98
206456,3,0,$20.86
470878,3,0,$15.74
495887,3,0,$5.00
792436,3,0,
619909,3,0,
782247,3,0,$187.00
124028,3,0,$334.83
98608,6,15,"$9,145.87"
707371,3,136,"$10,085.00"
49659,3,9,$853.00
632213,3,0,$950.96
8664,3,33,"$7,507.00"
194479,2,23,"$1,563.22"
802854,2,36,
490331,2,31,
285311,3,19,"$2,686.00"
75586,2,0,$650.77
758864,2,0,$398.86
442806,2,18,
839321,2,13,"$1,141.00"
778448,2,132,"$11,657.00"
85586,2,1,$228.82
582343,2,0,$188.95
833063,2,9,
585199,2,0,$90.70
753321,2,3,
694062,2,3,
495437,2,3,
745505,2,0,$95.00
575115,2,1,$6.30
881010,2,1,
103304,2,0,
450093,2,0,
807928,2,0,
816049,2,0,
